Oragnism,UpdatedOrganismName,Group,Frequency
Rodentibacter pneumotropicus,NOI,NOI,15
STREPTOCOCCUS NON GROUPABLE,NOI,NOI,15
Atopobium vaginae,NOI,NOI,14
BACTEROIDES STERCORIS,NOI,NOI,14
FUSOBACTERIUM MORTIFERUM,NOI,NOI,14
HAEMOPHILUS PARAPHROPHILUS,NOI,NOI,14
LACTOBACILLUS SPECIES,NOI,NOI,14
NEISSERIA SUBFLAVA,NOI,NOI,14
STREPTOCOCCUS CRISTATUS,NOI,NOI,14
STREPTOCOCCUS EQUISIMILIS/ GROUP G STREP,NOI,NOI,14
BACILLUS MEGATERIUM,NOI,NOI,13
OLIGELLA UREOLYTICA,NOI,NOI,13
PARVIMONAS MICRA,NOI,NOI,13
STREPTOCOCCUS INFANTARIUS,NOI,NOI,13
VIBRIO SPECIES,NOI,NOI,13
ANAEROBIC STREPTOCOCCUS SPECIES,NOI,NOI,12
Bacteroides ovatus/xylanisolvens,NOI,NOI,12
CANDIDA UTILIS,NOI,NOI,12
CHRYSEOMONAS LUTEOLA/ FLAVIMONS ORYZIHABITANS,NOI,NOI,12
CLOSTRIDIUM SPOROGENES,NOI,NOI,12
COMAMONAS ACIDOVORANS,NOI,NOI,12
Fusobacterium necrogenes,NOI,NOI,12
Ralstonia insidiosa,NOI,NOI,12
Salmonella enterica ser. Paratyphi C,NOI,NOI,12
STAPHYLOCOCCUS VITULINUS,NOI,NOI,12
Turicella otitidis,NOI,NOI,12
ACINETOBACTER NOSOCOMIALIS,NOI,NOI,11
Brevibacillus choshinensis,NOI,NOI,11
LEUCONOSTOC MESENTEROIDES SSP MESENTEROIDES,NOI,NOI,11
RALSTONIA MANNITOLILYTICA,NOI,NOI,11
STREPTOCOCCUS ORALIS,NOI,NOI,11
VAGOCOCCUS FLUVIALIS,NOI,NOI,11
Acinetobacter gyllenbergii,NOI,NOI,10
CLOSTRIDIUM PARAPUTRIFICUM,NOI,NOI,10
GLOBICATELLA SANGUINIS,NOI,NOI,10
MORAXELLA SPP(URETHRALIS),NOI,NOI,10
NEISSERIA MENINGITIDIS SEROGROUP C,NOI,NOI,10
NEISSERIA MENINGITIDIS SEROGROUP W135,NOI,NOI,10
Parabacteroides distasonis,NOI,NOI,10
STREPTOCOCCI  NON HAEMOLYTIC,NOI,NOI,10
STREPTOCOCCUS INFANTARIUS SSP COLI,NOI,NOI,10
STREPTOCOCCUS THERMOPHILUS,NOI,NOI,10
Veillonella spp,NOI,NOI,10
Virgibacillus proomii,NOI,NOI,10
BORDETELLA  BRONCHISEPTICA,NOI,NOI,9
Brucella spp,NOI,NOI,9
CLOSTRIDIUM SEPTICUM,NOI,NOI,9
LEUCONOSTOC MESENTEROIDES SSP DEXTRANICUM,NOI,NOI,9
NEISSERIA WEAVERI,NOI,NOI,9
Peptoniphilus indolicus,NOI,NOI,9
PEPTOSTREPTOCOCCUS MAGNUS,NOI,NOI,9
STREPTOCOCCUS MITIS/ORALIS/(STREPTOCOCCUS PNEUMONIAE),NOI,NOI,9
STREPTOCOCCUS PRESUMPTIVE GROUP A,NOI,NOI,9
BACTEROIDES CACCAE,NOI,NOI,8
Brevundimonas diminuta,NOI,NOI,8
DERMACOCCUS NISHINOMIYAENSIS/KYTOCOCCUS SEDENTARIUS,NOI,NOI,8
GARDNERELLA VAGINALIS,NOI,NOI,8
GEMELLA SPP,NOI,NOI,8
HAEMOPHILUS APHROPHILUS,NOI,NOI,8
Kytococcus schroeteri,NOI,NOI,8
LACTOBACILLUS FERMENTUM,NOI,NOI,8
PANTOEA DISPERSA,NOI,NOI,8
Pasteurella canis,NOI,NOI,8
Prevotella veroralis,NOI,NOI,8
Roseomonas mucosa,NOI,NOI,8
Saprochaete capitata,NOI,NOI,8
STREPTOCOCCUS,NOI,NOI,8
Bacillus smithii,NOI,NOI,7
Clostridioides difficile,NOI,NOI,7
Corynebacterium propinquum,NOI,NOI,7
CUPRIAVIDUS PAUCULUS,NOI,NOI,7
DIPHTHEROIDS,NOI,NOI,7
GEMELLA SANGUINIS,NOI,NOI,7
GRAM POSITIVE COCCI IN CHAINS,NOI,NOI,7
Haemophilus segnis,NOI,NOI,7
MORAXELLA OSLOENSIS,NOI,NOI,7
Parabacteroides merdae,NOI,NOI,7
Pasteruella dagmatis,NOI,NOI,7
PLESIOMONAS SHIGELLOIDES,NOI,NOI,7
PORPHYROMONAS ASACCHAROLYTICA,NOI,NOI,7
SALMONELLA TYPHI-MURIUM,NOI,NOI,7
SHIGELLA SPECIES,NOI,NOI,7
STREPTOCOCCUS EQUI/ GROUP G STREP,NOI,NOI,7
STREPTOCOCCUS GROUP D-NOT ENTEROCOCCUS,NOI,NOI,7
STREPTOCOCCUS SUIS I,NOI,NOI,7
STREPTOCOCCUS VESTIBULARIS,NOI,NOI,7
Acidovorax temperans,NOI,NOI,6
Actinomyces europaeus,NOI,NOI,6
AEROMONAS VERONII BIOVAR VERONII,NOI,NOI,6
Brevibacterium luteolum,NOI,NOI,6
CANDIDA FAMATA,NOI,NOI,6
CANDIDA PARATROPICALIS,NOI,NOI,6
CAPNOCYTOPHAGA SPECIES,NOI,NOI,6
CLOSTRIDIUM HISTOLYTICUM,NOI,NOI,6
Corynebacterium simulans,NOI,NOI,6
ENTEROCOCCUS COLUMBAE,NOI,NOI,6
Eubacterium callanderi,NOI,NOI,6
FUSOBACTERIUM VARIUM,NOI,NOI,6
HAEMOPHILUS AEGYPTIUS,NOI,NOI,6
HAEMOPHILUS INFLUENZAE I,NOI,NOI,6
KYTOCOCCUS SEDENTARIUS,NOI,NOI,6
LACTOCOCCUS RAFFINOLACTIS,NOI,NOI,6
MICROCOCCUS LYLAE,NOI,NOI,6
MORAXELLA GROUP,NOI,NOI,6
NEISSERIA ANIMALORIS,NOI,NOI,6
Ochrobactrum intermedium,NOI,NOI,6
Paenibacillus durus,NOI,NOI,6
Pseudopropionibacterium propionicum,NOI,NOI,6
STREPTOCOCCUS PRESUMPTIVE GROUP B,NOI,NOI,6
Trichosporon asteroides,NOI,NOI,6
Actinomyces radingae,NOI,NOI,5
Bacillus altitudinis,NOI,NOI,5
Bacillus simplex,NOI,NOI,5
Bacillus subtilis/amyloliquefaciens/atrophaeus,NOI,NOI,5
CAMPYLOBACTER FETUS,NOI,NOI,5
Corynebacterium freneyi,NOI,NOI,5
EPIDEMIOLOGY AFB NEW,NOI,NOI,5
KOCURIA VARIANS,NOI,NOI,5
METHYLOBACTERIUM SPECIES,NOI,NOI,5
NEISSERIA CINEREA,NOI,NOI,5
SALMONELLA GROUP E1,NOI,NOI,5
Slackia exigua,NOI,NOI,5
STREPTOCOCCI  ALPHA HEMOLYTIC,NOI,NOI,5
ACTINOBACILLUS ACTINOMYCETEMCOMITANS,NOI,NOI,4
ACTINOMYCES SPECIES,NOI,NOI,4
Alistipes finegoldii,NOI,NOI,4
Bacillus idriensis,NOI,NOI,4
Bacteroides dorei,NOI,NOI,4
BURKHOLDERIA MULTIVORANS,NOI,NOI,4
CLOSTRIDIUM GLYCOLICUM,NOI,NOI,4
CLOSTRIDIUM INNOCUUM,NOI,NOI,4
CLOSTRIDIUM LIMOSUM,NOI,NOI,4
CLOSTRIDIUM SORDELLII,NOI,NOI,4
Corynebacterium durum,NOI,NOI,4
Corynebacterium tuberculostearicum,NOI,NOI,4
Fusobacterium necrophorum ssp necrophorum,NOI,NOI,4
LACTOBACILLUS JENSENII,NOI,NOI,4
Lactobacillus rhamnosus,NOI,NOI,4
Rothia aeria,NOI,NOI,4
STREPTOCOCCUS SANGUINIS (STREPTOCOCCUS SANGUIS)/GORDONII,NOI,NOI,4
ACTINOMYCES VISCOSUS,NOI,NOI,3
BACILLUS FIRMUS,NOI,NOI,3
CLOSTRIDIUM BUTYRICUM,NOI,NOI,3
CLOSTRIDIUM SUBTERMINALE,NOI,NOI,3
Dialister micraerophilus,NOI,NOI,3
E.COLI TYPE 018CK77,NOI,NOI,3
Lactobacillus gasseri,NOI,NOI,3
NEISSERIA MENINGITIDIS SEROGROUP B,NOI,NOI,3
Porphyromonas gingivalis,NOI,NOI,3
Pseudoflavonifractor capillosus,NOI,NOI,3
TRICHOSPORON ASAHII,NOI,NOI,3
BACTEROIDES EGGERTHII,NOI,NOI,2
BRUCELLA SPECIES,NOI,NOI,2
Eggerthia catenaformis,NOI,NOI,2
GRAM POSITIVE COCCI IN CLUSTERS,NOI,NOI,2
STREPTOCOCCUS BOVIS,NOI,NOI,2
Streptococcus suis,NOI,NOI,2
Veillonella dispar,NOI,NOI,2
Dialister pneumosintes,NOI,NOI,1
Peptoniphilus lacrimalis,NOI,NOI,1
